O	Kindle.
P	very fast.
P	Beginner tablet for our year old son.
P	Good.
P	Fantastic Tablet for kids.
P	Just what we expected.
P	great ereader tablet.
P	Great for gifts.
P	Great for reading.
P	Great and lightweight reader.
P	nice tablet for the price.
P	Excellent product.
P	Great Value.
P	Excellect.
P	Living It.
P	Favorite of any tablet.
P	good.
P	Nice Tablet for the Price.
P	Great quality tablet.
O	Kindle fire.
P	Excellent reader.
P	Best Tablet Choice.
P	Great size.
P	Great tablet for kids.
P	First Tablet Lots of possibilities.
P	Great price for a basic tablet.
P	Great quality tablet.
P	Excellent for simple games and social media.
P	I like it.
P	Great Tablet.
P	looking for a great gift that is affordable.
P	Great Tablet Great Price.
P	Great product.
P	Enjoying my new tablet.
P	Perfect size.
P	Love my Amazon Fire HD tablet.
P	Great product.
P	Great for kids.
P	Great Tablet.
P	Great.
P	Good low cost option for tablet.
P	Enjoyable.
P	Good starter tablet.
P	Priced to sell nice little unit.
P	Love the camera.
P	Was looking for an Kindle.
P	great tablet for the money.
P	Nice HD tablet.
P	Ease of use.
P	Awesome.
O	Decent Tablet for Teen Basic Games.
P	Great tablet for the price.
P	Fire Tablet great for entertainment.
P	Good for Kids.
P	My wife loves it.
P	Great.
P	Great Device.
P	A nice upgrade to my old kindle.
P	Present for my daughter she loves it.
P	Great little device.
P	Perfect for artist reference photos.
P	Great tablet for what its worth.
P	Great tablet.
P	Good pad for a beginner.
P	Pretty Decent.
P	Great deal.
P	great for my kids.
N	Can be slow.
P	Great price.
P	Kindle Fire tablet.
P	Great tablet for a beginner.
P	Hd tablet.
P	Great tablet.
P	Pretty nice.
P	Great tablet.
P	A gift for Grandma.
P	Great Price for the reader.
P	Great Tab.
P	Awesome tablet for kids.
P	Great basic tab.
P	Good tablets for kids.
P	I love my kindle best investment I have made.
P	Excellent for its price point.
O	Excellent HD GB Tablet.
O	Kindle fire hd.
O	First Amazon FIRE.
P	good price.
P	Love it.
P	Easy to learn to use its many features.
P	Great little tablet.
P	Granddaughter loves it.
P	Easy to use.
P	Great tablet for kids.
P	Love it.
O	Good not great.
P	Think it is a good product.
P	User friendly.
P	Excellent purchased for door prize.
P	Very versatile tablet.
P	Works great.
P	Great deal.
P	Awesome.
P	Woks great.
P	love it.
P	amazon fire.
P	I m happy with it.
P	Its a great item that I purchased as a Christmas.
P	Love It.
N	Disappointed no access to Apps without credit card.
P	Daughter loves it.
P	Good size.
P	Love this tablet.
P	bigger screen.
P	Perfect size Great resolution.
P	Daughter Loves This Tablet.
P	Great Tablet For My Wife.
P	Great value for what you get.
O	Was not for me.
P	works fine for my youngest.
P	Great tablet for the price.
P	Great for games.
P	Bargain tablet.
P	I love it.
P	awesome convenient.
P	Small And Compact.
O	Daughters new Kindle Fire HD.
N	TERRIBLE DONT BUY.
